"url","group"
"http://www.vvc.edu/studentemail.html","admin"
"http://www.vvc.edu/students.html","admin"
"http://www.vvc.edu/TechResources.html","admin"
"http://www.vvc.edu/TechSelfhelp.html","admin"
"http://www.vvc.edu/techsupport.html","admin"
"http://www.vvc.edu/videos/ATC_bridge_timelapse","admin"
"http://www.vvc.edu/videos/ATC_timelapse","admin"
"http://www.vvc.edu/videos/oucampus-5moresteps","admin"
"http://www.vvc.edu/videos/oucampus-5steps","admin"
"http://www.vvc.edu/videos/oucampus-facultyprofilepage","admin"
"http://www.vvc.edu/videos/SDA_timelapse","admin"
"http://www.vvc.edu/videos/StudentFAQs-w-captions","admin"
"http://www.vvc.edu/VirtualOneStop2.html","admin"
"http://www.vvc.edu/webadvisor.html","admin"
"http://www.vvc.edu/welcomeweek.html","admin"
"http://www.vvc.edu/offices","AdminServices"
"http://www.vvc.edu/offices/admin-services","AdminServices"
"http://www.vvc.edu/offices/admin-services/Auxiliary Services Posting Guidelines.shtml","AdminServices"
"http://www.vvc.edu/offices/admin-services/auxiliary-services-marquee-request-form.shtml","AdminServices"
"http://www.vvc.edu/offices/admin-services/auxiliary-services-print-shop-order-form.shtml","AdminServices"
"http://www.vvc.edu/offices/admin-services/auxiliary-services-rfps.shtml","AdminServices"
"http://www.vvc.edu/offices/admin-services/auxiliary-services.shtml","AdminServices"
"http://www.vvc.edu/offices/admin-services/budget-offices.shtml","AdminServices"
"http://www.vvc.edu/offices/admin-services/division-newsletter.shtml","AdminServices"
"http://www.vvc.edu/offices/admin-services/newsletter.html","AdminServices"
"http://www.vvc.edu/offices/admin-services/office-of-the-vice-president.shtml","AdminServices"
"http://www.vvc.edu/offices/admin-services/risk-management.shtml","AdminServices"
"http://www.vvc.edu/access.html","Admission"
"http://www.vvc.edu/admission.html","Admission"
"http://www.vvc.edu/degrees-certificates/index.shtml","admission"
"http://www.vvc.edu/office-hours.html","Admission"
"http://www.vvc.edu/offices/admissions-records","Admission"
"http://www.vvc.edu/offices/admissions-records/apply-for-admission-online.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/apply-for-admission.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/AR_Staff.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/AR-Staff.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/assessment.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/attention-recent-high-school-graduates.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/authorization-codes.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/catalogs.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/concurrent-enrollment.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/enroll_verifications.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/fees-refund.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/fees-refunds.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/graduation.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/index.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/international-students.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/list-of-open-classes.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/nstudents.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/office-hours.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/online-new-student-orientation.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/preparing-for-your-assessment-test.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/registration-information.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/residency.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/steps-to-enrollment.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/student-forms.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/transcript.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/transcripts.shtml","Admission"
"http://www.vvc.edu/offices/admissions-records/wait-lists.shtml","Admission"
"https://www.vvc.edu/offices/admissions-records/frequently-asked-questions.shtml","Admission"
"http://www.vvc.edu/academic/agriculture","agriculture"
"http://www.vvc.edu/academic/agriculture/index.shtml","agriculture"
"http://www.vvc.edu/academic/allied_health","AlliedHealth"
"http://www.vvc.edu/academic/allied_health/cna.shtml","AlliedHealth"
"http://www.vvc.edu/academic/allied_health/emt.htm","AlliedHealth"
"http://www.vvc.edu/academic/allied_health/index.htm","AlliedHealth"
"http://www.vvc.edu/academic/allied_health/index.shtml","AlliedHealth"
"http://www.vvc.edu/academic/allied_health/lab","AlliedHealth"
"http://www.vvc.edu/academic/allied_health/lab/hours.shtml","AlliedHealth"
"http://www.vvc.edu/academic/allied_health/lab/index.shtml","AlliedHealth"
"http://www.vvc.edu/academic/allied_health/lab/np1.shtml","AlliedHealth"
"http://www.vvc.edu/academic/allied_health/lab/np2.shtml","AlliedHealth"
"http://www.vvc.edu/academic/allied_health/lab/np3.shtml","AlliedHealth"
"http://www.vvc.edu/academic/allied_health/lab/np4.shtml","AlliedHealth"
"http://www.vvc.edu/academic/allied_health/lab/TEAS.shtml","AlliedHealth"
"http://www.vvc.edu/academic/allied_health/ma.htm","AlliedHealth"
"http://www.vvc.edu/academic/allied_health/ma.shtml","AlliedHealth"
"http://www.vvc.edu/academic/allied_health/medical-assisting","AlliedHealth"
"http://www.vvc.edu/academic/allied_health/medical-assisting/class-overview.shtml","AlliedHealth"
"http://www.vvc.edu/academic/allied_health/medical-assisting/clinical-requirements.shtml","AlliedHealth"
"http://www.vvc.edu/academic/allied_health/medical-assisting/code-of-ethics-and-creed.shtml","AlliedHealth"
"http://www.vvc.edu/academic/allied_health/medical-assisting/index.shtml","AlliedHealth"
"http://www.vvc.edu/academic/allied_health/medical-assisting/job-outlook-career-opportunities.shtml","AlliedHealth"
"http://www.vvc.edu/academic/allied_health/medical-assisting/mission-and-philosophy.shtml","AlliedHealth"
"http://www.vvc.edu/academic/allied_health/na_hha.htm","AlliedHealth"
"http://www.vvc.edu/academic/anthropology","Anthropology"
"http://www.vvc.edu/academic/anthropology/faculty.shtml","Anthropology"
"http://www.vvc.edu/academic/anthropology/index.shtml","Anthropology"
"http://www.vvc.edu/academic/art_and_design","Art"
"http://www.vvc.edu/academic/art_and_design/faculty.shtml","Art"
"http://www.vvc.edu/academic/art_and_design/index.shtml","Art"
"http://www.vvc.edu/offices/associated_student_body","ASB"
"http://www.vvc.edu/offices/associated_student_body/agendas.shtml","ASB"
"http://www.vvc.edu/offices/associated_student_body/asb_documents.shtml","ASB"
"http://www.vvc.edu/offices/associated_student_body/asb-campus-club-list.shtml","ASB"
"http://www.vvc.edu/offices/associated_student_body/asb-discounts.shtml","ASB"
"http://www.vvc.edu/offices/associated_student_body/asb-goals.shtml","ASB"
"http://www.vvc.edu/offices/associated_student_body/asb-mug-shots","ASB"
"http://www.vvc.edu/offices/associated_student_body/asbeventscalendar.shtml","ASB"
